닉네임_ID,순위,grp,예측수,TSLA_예측,NVDA_예측,적중률,TSLA_적중률,NVDA_적중률,평균실현변동,실력점수
cb7f5993e6427743,90,대조군,9,8.0,1.0,22.0,25.0,0.0,-0.6,-0.14
bf34acfc49be0096,91,대조군,7,7.0,0.0,0.0,0.0,,-0.8,-0.17
da979131d7a80226,92,고수후보,48,37.0,11.0,2.0,3.0,0.0,-0.3,-0.18
4def84d312fc958a,93,대조군,13,11.0,2.0,15.0,9.0,50.0,-0.6,-0.18
15defb6f1a80f537,94,대조군,9,9.0,0.0,22.0,22.0,,-0.8,-0.18
74557541e17c98f4,95,대조군,74,73.0,1.0,11.0,10.0,100.0,-0.4,-0.19
2974b71bb92f17ef,96,대조군,7,7.0,0.0,0.0,0.0,,-1.0,-0.21
ea625d2579cba464,97,대조군,13,4.0,9.0,0.0,0.0,0.0,-0.5,-0.22
624a56d874637912,98,대조군,7,7.0,0.0,0.0,0.0,,-1.0,-0.22
a9f6e455574f0f96,99,고수후보,22,22.0,0.0,5.0,5.0,,-0.6,-0.23
1ad2130dd6b78910,100,고수후보,5,5.0,0.0,0.0,0.0,,-1.4,-0.24
6e0ebc5adcbf82c7,101,고수후보,195,0.0,195.0,26.0,,26.0,-0.1,-0.24
88b3eab96d3c91cb,102,고수후보,23,14.0,9.0,4.0,7.0,0.0,-0.5,-0.25
0ca5a123a4b32b4f,103,대조군,31,28.0,3.0,6.0,7.0,0.0,-0.6,-0.26
56bae01732eb81c2,104,대조군,71,5.0,66.0,6.0,20.0,5.0,-0.2,-0.27
359a7e4d5127ca98,105,고수후보,59,53.0,6.0,5.0,6.0,0.0,-0.5,-0.28
17fa4fcda941b9c8,106,대조군,18,15.0,3.0,11.0,13.0,0.0,-0.8,-0.3
900f9ee75f046e95,107,대조군,7,4.0,3.0,0.0,0.0,0.0,-1.2,-0.3
143f0e7f1ce567c3,108,대조군,29,29.0,0.0,3.0,3.0,,-0.7,-0.32
2e5de7b1d6a4770c,109,고수후보,44,44.0,0.0,2.0,2.0,,-0.7,-0.33
2acaab5579127ed0,110,대조군,57,57.0,0.0,7.0,7.0,,-0.6,-0.35
4ba4ef2bfb4cfb67,111,대조군,18,18.0,0.0,6.0,6.0,,-1.0,-0.37
3f78923415604056,112,고수후보,6,6.0,0.0,0.0,0.0,,-1.8,-0.37
6e523a850ba262bb,113,대조군,33,33.0,0.0,6.0,6.0,,-0.8,-0.38
66e1fb904567c610,114,고수후보,219,8.0,211.0,13.0,12.0,13.0,-0.3,-0.38
e1f24bd283bba9ae,115,고수후보,141,141.0,0.0,9.0,9.0,,-0.6,-0.39
ff3f8d52a18d7148,116,대조군,12,4.0,8.0,8.0,0.0,12.0,-1.0,-0.39
69556ad8ee98a54c,117,대조군,49,49.0,0.0,8.0,8.0,,-0.7,-0.4
f74c092e1428b0ce,118,대조군,94,1.0,93.0,5.0,0.0,5.0,-0.3,-0.4
f31fe3f8ffba2c69,119,고수후보,52,52.0,0.0,8.0,8.0,,-0.7,-0.4
9782f6bafb38b22e,120,대조군,8,8.0,0.0,12.0,12.0,,-1.7,-0.42
482a9d48524fb96e,121,대조군,39,39.0,0.0,8.0,8.0,,-0.8,-0.42
73de68d2e3fdb1ca,122,고수후보,21,15.0,6.0,0.0,0.0,0.0,-0.9,-0.44
f22699c60b30b71d,123,고수후보,55,55.0,0.0,5.0,5.0,,-0.8,-0.44
33cd3bae304296ae,124,대조군,5,5.0,0.0,20.0,20.0,,-2.4,-0.44
be6c388f211bbd25,125,대조군,6,0.0,6.0,0.0,,0.0,-1.8,-0.46
970607c1fad497e6,126,대조군,5,5.0,0.0,0.0,0.0,,-2.5,-0.47
155d21154fc7fadb,127,고수후보,65,17.0,48.0,8.0,0.0,10.0,-0.6,-0.5
c1dca8df85ce629f,128,대조군,16,16.0,0.0,6.0,6.0,,-1.3,-0.5
de41897012c41a0b,129,고수후보,33,33.0,0.0,0.0,0.0,,-1.0,-0.52
6cce6aed12f8161d,130,고수후보,6,0.0,6.0,17.0,,17.0,-2.2,-0.54
07fe24f952c89a8e,131,고수후보,22,21.0,1.0,9.0,10.0,0.0,-1.2,-0.55
f23e4a4cf87025ea,132,고수후보,50,50.0,0.0,2.0,2.0,,-1.0,-0.56
3cfe724fbc626f31,133,대조군,146,4.0,142.0,13.0,0.0,13.0,-0.5,-0.57
5071047ac56741a0,134,대조군,14,14.0,0.0,0.0,0.0,,-1.6,-0.57
f06d60ca897affbe,135,고수후보,6,6.0,0.0,0.0,0.0,,-2.8,-0.61
7921ffdab96a6093,136,고수후보,56,56.0,0.0,11.0,11.0,,-1.1,-0.64
7406883ed5e1f77d,137,고수후보,61,61.0,0.0,5.0,5.0,,-1.0,-0.64
95922e8eb4c44b14,138,대조군,38,38.0,0.0,5.0,5.0,,-1.2,-0.67
d6abf4d49f508e2d,139,대조군,27,24.0,3.0,19.0,17.0,33.0,-1.6,-0.81
44f1b7c742557a75,140,대조군,30,19.0,11.0,10.0,11.0,9.0,-1.5,-0.86
d4e0e08aeb82238d,141,고수후보,82,82.0,0.0,7.0,7.0,,-1.2,-0.86
5888e82095321465,142,고수후보,87,85.0,2.0,9.0,9.0,0.0,-1.3,-0.88
0e2973a2783c2537,143,고수후보,41,25.0,16.0,12.0,12.0,12.0,-1.4,-0.92
47b7f3f699b89b19,144,고수후보,22,22.0,0.0,5.0,5.0,,-2.1,-0.99
17323cbc20d2c33a,145,고수후보,17,0.0,17.0,12.0,,12.0,-2.7,-1.33
ca88b5b3ad287011,146,고수후보,12,12.0,0.0,0.0,0.0,,-3.8,-1.34
d3f7e6e23de3fcb1,147,고수후보,16,0.0,16.0,6.0,,6.0,-2.9,-1.37
